RankId,Rank,Song_x,Artist_x,Year,Song_y,Artist_y,Lyrics,Source,LyricsStatus,GeniusLyrics
298,98,I Can See for Miles,The Who,1967,i can see for miles,the who,the who miscellaneous i can see for miles i can see for miles the who townshend i know youve deceived me now heres a surprise i know that you have cause theres magic in my eyes i can see for miles and miles and miles and miles and miles oh yeah if you think that i dont know about the little tricks youve played and never see you when deliberately you put things in my way well heres a poke at you youre gonna choke on it too youre gonna lose that smile beacuse all the while i can see for miles and miles i can see for miles and miles i can see for miles and miles and miles and miles and miles oh yeah you took advantage of my trust in you when i was so far away i saw you holding lots of other guys and now youve got the nerve to say that you still want me well thats as may be but you gotta stand trial because all the while i can see for miles and miles i can see for miles and miles i can see for miles and miles and miles and miles and miles oh yeah i know youve deceived me now heres a surprise i know that you have cause theres magic in my eyes i can see for miles and miles and miles and miles and miles oh yeah the eiffel tower and the taj mahal are mine to see on clear days you thought that i would need a crystal ball to see right through the haze well heres a poke at you youre gonna choke on it too youre gonna lose that smile beacuse all the while i can see for miles and miles i can see for miles and miles i can see for miles and miles and miles and miles and miles and miles and miles and miles and miles i can see for miles and miles i can see for miles and miles i can see for miles and miles i can see for miles and miles,3.0,1,"{Intro}
I know you've deceived me, now here's a surprise
I know that you have cause, there's magic in my eyes
I can see for miles and miles and miles and miles and miles
Oh yeah
If you think that I don't know about the little tricks you've played
And never see you when deliberately you put things in my way
Well, here's a poke at you
You're going to choke on it too
You're going to lose that smile
Because all the while
I can see for miles and miles
I can see for miles and miles
I can see for miles and miles and miles and miles and miles
Oh yeah
You took advantage of my trust in you when I was so far away
I saw you holding lots of other guys and now you've got the nerve to say
That you still want me
Well, that's as may be
But you got to stand trial
Because all the while
I can see for miles and miles
I can see for miles and miles
I can see for miles and miles and miles and miles and miles
Oh yeah
{Bridge}
I know you've deceived me, now here's a surprise
I know that you have cause there's magic in my eyes
I can see for miles and miles and miles and miles and miles
Oh yeah
The Eiffel Tower and the Taj Mahal are mine to see on clear days
You thought that I would need a crystal ball to see right through the haze
Well, here's a poke at you
You're going to choke on it too
You're going to lose that smile
Because all the while
I can see for miles and miles
I can see for miles and miles
I can see for miles and miles and miles and miles and miles
And miles and miles and miles and miles
I can see for miles and miles
I can see for miles and miles
I can see for miles and miles
I can see for miles and miles"
299,99,Don't Sleep in the Subway,Petula Clark,1967,dont sleep in the subway,petula clark, you wander around on your own little cloud when you dont see the why or the wherefore you walk out on me when we both disagree cause to reason is not what you care forive heard it all a million times before take off your coat my love and close the doordont sleep in the subway darlin dont stand in the pouring rain dont sleep in the subway darlin the night is long forget your foolish pride nothings wrong now youre beside me againyou try to be smart then you take it to heart cause it hurts when your ego is deflated you dont realize that its all compromise and the problems are so overratedgoodbye means nothing when its all for show so why pretend youve somewhere else to godont sleep in the subway darlin dont stand in the pouring rain dont sleep in the subway darlin the night is long forget your foolish pride nothings wrong now youre beside me againdont sleep in the subway darlin dont stand in the pouring rain dont sleep in the subway darlin the night is long forget your foolish pride nothings wrong now youre beside me againdont sleep in the subway darlin dont stand in the pouring rain dont sleep ,1.0,1,"You wander around
On your own little cloud
When you don't see the why
Or the wherefore
Ooh, you walk out on me
When we both disagree
'cause to reason is not what you care for
I've heard it all a million times before
Take off your coat, my love, and close the door
Don't sleep in the subway, darlin'
Don't stand in the pouring rain
Don't sleep in the subway, darlin'
The night is long
Forget your foolish pride
Nothing's wrong
Now you're beside me again
You try to be smart
Then you take it apart
'cause it hurts when your ego is deflated
Um-m-um-um-um-um
You don't realize
That it's all compromise
And the problems are so over-rated
Good-bye means nothing when it's all for show
So why pretend you've somewhere else to go?
Don't sleep in the subway, darlin'
Don't stand in the pouring rain
Don't sleep in the subway, darlin'
The night is long
Forget your foolish pride
Nothing's wrong
Now you're beside me again
Oh, oh, oh
Don't sleep in the subway, darlin'
Don't stand in the pouring rain
Don't sleep in the subway, darlin'
The night is long
Forget your foolish pride
Nothing's wrong
Now you're beside me again
Oh, oh, oh, oh, oh
(repeat chorus and fade out)"
300,100,Thank the Lord for the Night Time,Neil Diamond,1967,thank the lord for the night time,neil diamond, NA ,1.0,1,"Daytime turns me off
And I don't mean maybe
Nine to five
Ain't takin' me where I'm bound
When it's done
I run out to see my baby
We got groovin'
When the sun goes down
I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you
I'll talk about plans now
Baby, I got plenty
Nothing ever seems to turn out
The way it should
Talk about money, girl
I ain't got any
Seems like just one time
I'm feeling good
I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you
Seems like just one time
I'm feeling good
I thank the Lord for the night time
To forget the day
A day of up, uptight time
Baby, chase it away
I get relaxation, it's a time to groove
I thank the Lord for the night time
I thank the Lord for you
Thank the Lord for the night time
Thank the Lord for you"
301,1,Hey Jude,The Beatles,1968,hey jude,the beatles,hey jude dont make it bad take a sad song and make it better remember to let her into your heart then you can start to make it better hey jude dont be afraid you were made to go out and get her the minute you let her under your skin then you begin to make it better and anytime you feel the pain hey jude refrain dont carry the world upon your shoulders for well you know that its a fool who plays it cool by making his world a little colder na na na na na na na na na hey jude dont let me down you have found her now go and get her remember to let her into your heart then you can start to make it better so let it out and let it in hey jude begin youre waiting for someone to perform with and dont you know that its just you hey jude youll do the movement you need is on your shoulder na na na na na na na na na yeah hey jude dont make it bad take a sad song and make it better remember to let her under your skin then you begin to make it better better better better better better oh na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude na na na nana na na nana na na hey jude Ì¢,3.0,1,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better

Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better

And anytime you feel the pain, hey Jude, refrain
Don't carry the world upon your shoulders
For well you know that it's a fool who plays it cool
By making his world a little colder
Na na na na na na na na na na

Hey Jude, don't let me down
You have found her, now go and get her
(Let it out and let it in)
Remember (Hey Jude) to let her into your heart
Then you can start to make it better

So let it out and let it in, hey Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you, hey Jude, you'll do
The movement you need is on your shoulder
Na na na na na na na na na yeah

Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her under your skin
Then you'll begin to make it (Whoa, fucking hell!)
Better better better better better better, oh

Yeah yeah yeah yeah yeah yeah yeah
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
(Jude Judy Judy Judy Judy Judy owwwww wowww)
Naa na na na na na na (Na na na), na na na na, hey Jude
(Jude Jude Jude Jude Jude)
Naa na na na na na na (Yeah yeah yeah), na na na na, hey Jude
(You know you can make, Jude Jude, You're not gonna break it)
Naa na (Don't make it bad Jude) na na na na na (Take a sad song and make it better), na na na na, hey Jude
Hey Jude, hey Jude wowwwwww
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
Jude Jude Jude Jude Jude Jude
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
(Na na na na na na na na na na na na)
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na (Make it Jude), na na na na, hey Jude
(Yeah yeah yeah yeah yeah yeah yeah)
Naa na na na na na na, na na na na, hey Jude
(Go listen to ya ma ma ma ma ma ma ma ma)
Naa na na na na na na, na na na na, hey Jude
Naa na na na na na na, na na na na, hey Jude"
302,2,Love is Blue,Paul Mauriat,1968,love is blue,paul mauriat,instrumental,3.0,1,"Blue, blue, my world is blue
Blue is my world now I'm without you
Gray, gray, my life is gray
Cold is my heart since you went away
Red, red, my eyes are red
Crying for you alone in my bed
Green, green, my jealous heart
I doubted you and now we're apart
When we met how the bright sun shone
Then love died, now the rainbow is gone
Black, black, the nights I've known
Longing for you so lost and alone"
303,3,Honey,Bobby Goldsboro,1968,honey,bobby goldsboro, see the tree how big its grown but friend it hasnt been too long it wasnt big i laughed at her and she got mad the first day that she planted it was just a twigthen the first snow came and she ran out to brush the snow away so it wouldnt die came runnin in all excited slipped and almost hurt herself and i laughed till i criedshe was always young at heart kinda dumb and kinda smart and i loved her so and i surprised her with a puppy kept me up all christmas eve two years agoand it would sure embarrass her when i came in from workin late cause i would know that shed been sittin there and cryin over some sad and silly late late showand honey i miss you and im bein good and id love to be with you if only i couldshe wrecked the car and she was sad and so afraid that id be mad but what the heck though i pretended hard to be guess you could say she saw through me and hugged my necki came home unexpectedly and caught her cryin needlessly in the middle of the day and it was in the early spring when flowers bloom and robins sing she went awayand honey i miss you and im bein good and id love to be with you if only i couldone day while i was not at home while she was there and all alone the angels came now all i have is memories of honey and i wake up nights and call her namenow my lifes an empty stage where honey lived and honey played and love grew up and a small cloud passes overhead and cries down on the flower bed that honey lovedand see the tree how big its grown but friend it hasnt been too long it wasnt big and i laughed at her and she got mad the first day that she planted it was just a twig ,1.0,1,"See the tree, how big it's grown
But friend it hasn't been too long
It wasn't big
I laughed at her and she got mad
The first day that she planted it, was just a twig
Then the first snow came
And she ran out to brush the snow away
So it wouldn't die
Came runnin' in all excited
Slipped and almost hurt herself
And I laughed till I cried
She was always young at heart
Kinda dumb and kinda smart and I loved her so
And I surprised her with a puppy
Kept me up all Christmas Eve two years ago
And it would sure embarrass her
When I came in from workin' late
Cause I would know
That she'd been sittin' there and cryin'
Over some sad and silly late, late show
And honey, I miss you
And I'm bein' good
And I'd love to be with you
If only I could
She wrecked the car and she was sad
And so afraid that I'd be mad
But what the heck
Though I pretended hard to be
Guess you could say she saw through me
And hugged my neck
I came home unexpectedly
And caught her cryin' needlessly
In the middle of the day
And it was in the early Spring
When flowers bloom and robins sing
She went away
And honey, I miss you
And I'm bein' good
And I'd love to be with you
If only I could
One day while I was not at home
While she was there and all alone
The angels came
Now all I have is memories of Honey
And I wake up nights and call her name
Now my life's an empty stage
Where Honey lived and Honey played
And love grew up
And a small cloud passes overhead
And cries down on the flower bed
That Honey loved
And see the tree how big it's grown
But friend it hasn't been too long
It wasn't big
And I laughed at her and she got mad
The first day that she planted it, was just a twig"
304,4,(Sittin' On) The Dock of the Bay,Otis Redding,1968,sittin on the dock of the bay,otis redding, sittin in the mornin sun ill be sittin when the evenin comes watchin the ships roll in then i watch em roll away again yeah im sittin on the dock of the bay watchin the tide roll away ooo im just sittin on the dock of the bay wastin timei left my home in georgia headed for the frisco bay cause i had nothin to live for it look like nothins gonna come my way so im just goin sittin on the dock of the bay watchin the tide roll away ooo im sittin on the dock of the bay wastin timelook like nothins gonna change everything still remains the same i cant do what ten people tell me to do so i guess ill remain the same yessittin here restin my bones and this loneliness wont leave me alone yes two thousand miles i roam just to make this dock my home now im just gonna sit at the dock of the bay watchin the tide roll away ooo yea sittin on the dock of the bay wastin time ,1.0,1,"Sittin' in the mornin' sun
I'll be sittin' when the evenin' come
Watching the ships roll in
And then I watch 'em roll away again, yeah

I'm sittin' on the dock of the bay
Watching the tide roll away
Ooo, I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the 'Frisco bay
Cause I've had nothing to live for
And look like nothin's gonna come my way

So I'm just gonna sit on the dock of the bay
Watching the tide roll away
Ooo, I'm sittin' on the dock of the bay
Wastin' time

Look like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, yes

Sittin' here resting my bones
And this loneliness won't leave me alone
It's two thousand miles I roamed
Just to make this dock my home

Now, I'm just gonna sit at the dock of the bay
Watching the tide roll away
Oooo-wee, sittin' on the dock of the bay
Wastin' time

*Whistling*"
305,5,People Got to Be Free,The Rascals,1968,people got to be free,the rascals, all the world over so easy to see people everywhere just wanna be free listen please listen thats the way it should be theres peace in the valley people got to be freeyou should see what a lovely lovely world thisd be everyone learned to live together ah hah seems to me such an itty bitty thing should be why cant you and me learn to love one anotherall the world over so easy to see people everywhere just wanna be free wanna be free i cant understand it so simple to me people everywhere just got to be freeif theres a man who is down and needs a helpin hand all it takes is you to understand and to pull him through ah hah seems to me we got to solve it individually ah ah and ill do unto you what you do to me said nohear the shoutin from the mountains on out to the sea no two ways about it people have to be free they gotta be free ask me my opinion my opinion will be natural situation for a man to be freeget right on board now huh huhyeah oh what a feelins just come over me love can move a mountain make a blind man see everybody sing it now come on lets go see peace in the valley now we all can be freesee that train over there now thats the train of freedom its about to rrive any minute now you know its beena long long overdue look out cause its acomin right on through ha ha yeah ha ha yeah ,1.0,1,"All the world over, so easy to see
People everywhere just wanna be free
Listen, please listen, that's the way it should be
There's peace in the valley, people got to be free
You should see what a lovely, lovely world this'd be
Everyone learned to live together, ah hah
Seems to me such an itty bitty thing should be
Why can't you and me learn to love one another?
All the world over, so easy to see
People everywhere just wanna be free (wanna be free)
I can't understand it, so simple to me
People everywhere just got to be free
If there's a man who is down and needs a helpin' hand
All it takes is you to understand and to pull him through, ah hah
Seems to me we got to solve it individually, ah ah
And I'll do unto you what you do to me
Said, no
Shout it from the mountain on out to the sea
No two ways about it, people have to be free (they gotta be free)
Ask me my opinion, my opinion will be
Natural situation for a man to be free
Get right on board now, huh, huh
Oh, what a feelin's just come over me
Love can move a mountain, make a blind man see
Everybody sing it now come on let's go see
Peace in the valley now, we all can be free
See that train over there?
Now that's the train of freedom
It's about to 'rrive any minute, now
You know it's been'a long, long overdue
Look out 'cause it's a'comin' right on through
Ha, ha, yeah"
306,6,Sunshine of Your Love,Cream,1968,sunshine of your love,cream, its getting near dawn when lights close their tired eyes ill soon be with you my love to give you my dawn surprise ill be with you darling soon ill be with you when the stars start fallingive been waiting so long to be where im going in the sunshine of your loveim with you my love the lights shining through on you yes im with you my love its the morning and just we two ill stay with you darling now ill stay with you till my seas are dried upive been waiting so long to be where im going in the sunshine of your loveim with you my love the lights shining through on you yes im with you my love its the morning and just we two ill stay with you darling now ill stay with you till my seas are dried upive been waiting so long ive been waiting so long ive been waiting so long to be where im going in the sunshine of your love ,1.0,1,"It’s getting near dawn
When lights close their tired eyes
I’ll soon be with you, my love
To give you my dawn surprise
I’ll be with you, darling, soon
I’ll be with you when the stars start falling

I’ve been waiting so long
To be where I’m going
In the sunshine of your love

I’m with you, my love
The lights shining through on you
Yes, I’m with you, my love
It’s the morning and just we two
I’ll stay with you, darling, now
I’ll stay with you 'til my seas are dried up

I’ve been waiting so long
To be where I’m going
In the sunshine of your love


I’m with you, my love
The lights shining through on you
Yes, I’m with you, my love
It’s the morning and just we two
I’ll stay with you, darling, now
I’ll stay with you 'til my seas are dried up

I’ve been waiting so long
I’ve been waiting so long
I’ve been waiting so long
To be where I’m going
In the sunshine of your love"
307,7,This Guy's in Love With You,Herb Alpert,1968,this guys in love with you,herb alpert,you see this guy this guys in love with you yes im in love who looks at you the way i do when you smile i can tell we know each other very well how can i show you im glad i got to know you cause ive heard some talk they say you think im fine this girls in love and what id do to make you mine tell me now is it so dont let me be the last to know my hands are shakin dont let my heart keep breaking cause i need your love i want your love say youre in love in love with this guy if not ill just die tell me now is it so dont let me be the last to know my hands are shakin dont let my heart keep breaking cause i need your love i want your love say youre in love in love with this guy if not ill just die,3.0,1,"You see this guy
This guy's in love with you
Yes, I'm in love
Who looks at you the way I do
When you smile I can tell
We know each other very well
How can I show you
I'm glad I got to know you, 'cause

I've heard some talk
They say you think I'm fine
Yeah, I'm in love
And what I'd do to make you mine
Tell me now, is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking, 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not, I'll just die

Tell me now, is it so?
Don't let me be the last to know
My hands are shaking
Don't let my heart keep breaking, 'cause

I need your love
I want your love
Say you're in love
In love with this guy
If not, I'll just die"
