rankid,rank,song,artist,year
"1","1","Wooly Bully","Sam the Sham and the Pharaohs","1965"
"2","2","I Can't Help Myself (Sugar Pie Honey Bunch)","Four Tops","1965"
"3","3","(I Can't Get No) Satisfaction","The Rolling Stones","1965"
"4","4","You Were on My Mind","We Five","1965"
"5","5","You've Lost That Lovin' Feelin'","The Righteous Brothers","1965"
"6","6","Downtown","Petula Clark","1965"
"7","7","Help!","The Beatles","1965"
"8","8","Can't You Hear My Heartbeat","Herman's Hermits","1965"
"9","9","Crying in the Chapel","Elvis Presley","1965"
"10","10","My Girl","The Temptations","1965"
"11","11","Help Me, Rhonda","The Beach Boys","1965"
"12","12","King of the Road","Roger Miller","1965"
"13","13","The Birds and the Bees","Jewel Akens","1965"
"14","14","Hold Me, Thrill Me, Kiss Me","Mel Carter","1965"
"15","15","Shotgun","Jr. Walker & the All Stars","1965"
"16","16","I Got You Babe","Sonny & Cher","1965"
"17","17","This Diamond Ring","Gary Lewis & the Playboys","1965"
"18","18","The 'In' Crowd","Ramsey Lewis Trio","1965"
"19","19","Mrs. Brown, You've Got a Lovely Daughter","Herman's Hermits","1965"
"20","20","Stop! In the Name of Love","The Supremes","1965"
"21","21","Unchained Melody","The Righteous Brothers","1965"
"22","22","Silhouettes","Herman's Hermits","1965"
"23","23","I'll Never Find Another You","The Seekers","1965"
"24","24","Cara Mia","Jay and the Americans","1965"
"25","25","Mr. Tambourine Man","The Byrds","1965"
"26","26","Cast Your Fate to the Wind","Sounds Orchestral","1965"
"27","27","Yes, I'm Ready","Barbara Mason","1965"
"28","28","What's New Pussycat?","Tom Jones","1965"
"29","29","Eve of Destruction","Barry McGuire","1965"
"30","30","Hang On Sloopy","The McCoys","1965"
"31","31","Ticket to Ride","The Beatles","1965"
"32","32","Red Roses for a Blue Lady","Bert Kaempfert","1965"
"33","33","Papa's Got a Brand New Bag","James Brown","1965"
"34","34","Game of Love","Wayne Fontana & The Mindbenders","1965"
"35","35","The Name Game","Shirley Ellis","1965"
"36","36","I Know a Place","Petula Clark","1965"
"37","37","Back in My Arms Again","The Supremes","1965"
