"rankid","rank","artist_primary","song","year"
"19","19","Brian Hyland","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","1960"
"37","37","Duane Eddy","Because They're Young","1960"
"57","57","Bill Black's Combo","White Silver Sands","1960"
"62","62","The Safaris & The Phantom's Band","Image of a Girl","1960"
"81","81","Spencer Ross","Tracy's Theme","1960"
"88","88","Annette Funicello","O Dio Mio","1960"
"115","15","The Mar-Keys","Last Night","1961"
"127","27","Dick and Dee Dee","The Mountain's High","1961"
"144","44","Kokomo","Asia Minor","1961"
"155","55","Bob Moore","Mexico","1961"
"192","92","Eddie Hodges","I'm Gonna Knock on Your Door","1961"
"195","95","The Dave Brubeck Quartet","Take Five","1961"
"239","39","Richard Chamberlain","Theme from Dr. Kildare (Three Stars Will Shine Tonight)","1962"
"281","81","Walter Brennan","Old Rivers","1962"
"287","87","Billy Joe and the Checkmates","Percolator (Twist)","1962"
"299","99","Ronnie & the Hi-Lites","I Wish That We Were Married","1962"
"305","5","The Chiffons","He's So Fine","1963"
"326","26","Little Peggy March","I Will Follow Him","1963"
"327","27","The Chantays","Pipeline","1963"
"341","41","Los Indios Tabajaras","Maria Elena","1963"
"358","58","Lonnie Mack","Memphis","1963"
"363","63","Bill Pursell","Our Winter Love","1963"
"390","90","Dixie Belles","(Down At) Papa Joe's","1963"
"400","100","Del Shannon","Little Town Flirt","1963"
"460","60","The Marketts","Out of Limits","1964"
"478","78","Dean Martin","The Door Is Still Open to My Heart","1964"
"490","90","The Ventures","Walk, Don't Run '64","1964"
"518","18","Ramsey Lewis Trio","The 'In' Crowd","1965"
"545","45","Johnny Rivers","The Seventh Son","1965"
"601","1","Sgt. Barry Sadler","Ballad of the Green Berets","1966"
"647","47","B. J. Thomas","I'm So Lonesome I Could Cry","1966"
"682","82","Bob Dylan","Rainy Day Women #12 & 35","1966"
"698","98","Herb Alpert and the Tijuana Brass","Zorba the Greek","1966"
"732","32","Marvin Gaye & Tammi Terrell","Your Precious Love","1967"
"745","45","The Tremeloes","Silence Is Golden","1967"
"812","12","O. C. Smith","Little Green Apples","1968"
"818","18","Hugh Masekela","Grazing in the Grass","1968"
"821","21","Cliff Nobles","The Horse","1968"
"832","32","The Intruders","Cowboys to Girls","1968"
"843","43","Mason Williams","Classical Gas","1968"
"859","59","The Bee Gees","I've Gotta Get a Message to You","1968"
"897","97","Creedence Clearwater Revival","Suzie Q.","1968"
"915","15","Henry Mancini","Love Theme from Romeo and Juliet","1969"
"948","48","The Grass Roots","I'd Wait a Million Years","1969"
"963","63","Booker T & the M.G.'s","Time Is Tight","1969"
"1002","2","The Carpenters","(They Long to Be) Close to You","1970"
"1064","64","The Brotherhood of Man","United We Stand","1970"
"1103","3","Carole King","It's Too Late / I Feel the Earth Move","1971"
"1126","26","Murray Head & The Trinidad Singers","Superstar","1971"
"1130","30","The Carpenters","Superstar","1971"
"1137","37","The Carpenters","Rainy Days and Mondays","1971"
"1156","56","Chicago","Beginnings / Colour My World	","1971"
"1158","58","The Stampeders","Sweet City Woman","1971"
"1160","60","Paul McCartney","Another Day / Oh Woman, Oh Why","1971"
"1163","63","Brewer & Shipley","One Toke Over the Line","1971"
"1191","91","Neil Diamond","I Am...I Said","1971"
"1192","92","Paul Stookey","The Wedding Song (There Is Love)","1971"
"1200","100","Perry Como","Somos Novios (It's Impossible)","1971"
"1228","28","Hot Butter","Popcorn","1972"
"1244","44","Cat Stevens","Morning Has Broken","1972"
"1251","51","The Chakachas","Jungle Fever","1972"
"1265","65","The Carpenters","Hurting Each Other","1972"
"1285","85","Harry Chapin","Taxi","1972"
"1290","90","Original Cast of Godspell","Day by Day","1972"
"1316","16","The Edgar Winter Group","Frankenstein","1973"
"1359","59","The Carpenters","Sing","1973"
"1361","61","Eric Weissberg & Steve Mandell","Dueling Banjos","1973"
"1370","70","The Carpenters","Yesterday Once More","1973"
"1376","76","Bette Midler","Do You Wanna Dance?","1973"
"1386","86","Blue Ridge Rangers","Jambalaya (On the Bayou)","1973"
"1479","79","Mike Oldfield","Tubular Bells","1974"
"1505","5","Frankie Valli","My Eyes Adored You","1975"
"1522","22","Van McCoy & the Soul City Symphony","The Hustle","1975"
"1529","29","The Isley Brothers","Fight the Power","1975"
"1533","33","The Carpenters","Please Mr. Postman","1975"
"1573","73","Paul Anka & Odia Coates","I Don't Like to Sleep Alone","1975"
"1610","10","Walter Murphy & The Big Apple Band","A Fifth of Beethoven","1976"
"1629","29","Rhythm Heritage","Theme from S.W.A.T.","1976"
"1657","57","C. W. McCall","Convoy","1976"
"1678","78","The Beatles","Got to Get You into My Life","1976"
"1721","21","Bill Conti, DeEtta Little and Nelson Pigford","Gonna Fly Now","1977"
"1771","71","Meco","Star Wars Theme/Cantina Band","1977"
"1773","73","Lord David Dundas","Jeans On","1977"
"1826","26","Gerry Rafferty","Baker Street","1978"
"1852","52","Bob Seger & The Silver Bullet Band","Still the Same","1978"
"1928","28","Billy Joel","My Life","1979"
"1949","49","Frank Mills","Music Box Dancer","1979"
"1973","73","Ian Matthews","Shake It","1979"
"2014","14","The Spinners","Working My Way Back to You/Forgive Me, Girl","1980"
"2024","24","Teri DeSario & KC","Yes, I'm Ready","1980"
"2057","57","J.D. Souther","You're Only Lonely","1980"
"2067","67","Bob Seger and the Silver Bullet Band","Fire Lake","1980"
"2111","11","Joey Scarbury","Theme from The Greatest American Hero (Believe It or Not)","1981"
"2116","16","Raydio","A Woman Needs Love (Just Like You Do)","1981"
